"API Route","HTTP Methods","Sub-Workflow ID(s)","Parent Workflow(s)","Job Capability","Caller Type","Call Style","Evidence","Services Used","Status"
"/api/auth/signup","POST","WF-01a","PWF-01","N/A","FRONTEND","DIRECT_FETCH","app/signup/page.tsx:48","auth-email.service.ts","GREEN"
"/api/auth/[...nextauth]","ALL","WF-01b","PWF-01","N/A","EXTERNAL","INTERNAL","NextAuth framework","lib/auth.ts","GREEN"
"/api/auth/forgot-password","POST","WF-01c","PWF-01","N/A","FRONTEND","DIRECT_FETCH","app/auth/forgot-password/page.tsx:20","auth-email.service.ts","GREEN"
"/api/auth/reset-password","GET, POST","WF-01c","PWF-01","N/A","FRONTEND","DIRECT_FETCH","app/auth/reset-password/page.tsx:33,69","None","GREEN"
"/api/auth/accept-invite","GET, POST","WF-01d","PWF-01","N/A","FRONTEND","DIRECT_FETCH","app/auth/accept-invite/page.tsx:42,84","auth-email.service.ts","GREEN"
"/api/auth/verify","GET","WF-01a","PWF-01","N/A","FRONTEND","DIRECT_FETCH","app/auth/verify-email/page.tsx:27","None","GREEN"
"/api/boards","GET, POST","WF-02a, WF-02c","PWF-02","N/A","FRONTEND","DIRECT_FETCH","app/dashboard/boards/page.tsx:255,452","board.service.ts","GREEN"
"/api/boards/[id]","GET, PATCH, DELETE","WF-02b, WF-02f, WF-02g, WF-02h","PWF-02","N/A","FRONTEND","DIRECT_FETCH","app/dashboard/boards/page.tsx:273,400,416,438,474","board.service.ts","GREEN"
"/api/boards/team-members","GET","WF-02d","PWF-02","N/A","FRONTEND","DIRECT_FETCH","components/boards/create-board-modal.tsx:175","board.service.ts","GREEN"
"/api/boards/column-config","GET, PATCH","WF-02n","PWF-02","N/A","FRONTEND","DIRECT_FETCH","app/dashboard/boards/page.tsx (BoardColumnHeader)","Organization.features (boardColumns)","GREEN"
"/api/task-instances","GET, POST","WF-02c, WF-03a, WF-03b, WF-03c","PWF-02, PWF-03","Core, Table, Reconciliation","FRONTEND","DIRECT_FETCH","app/dashboard/jobs/page.tsx:179,376,443,505","task-instance.service.ts","GREEN"
"/api/task-instances/column-config","GET, PATCH","WF-02j","PWF-02","N/A","FRONTEND","DIRECT_FETCH","components/jobs/configurable-table/configurable-table.tsx:186,209","None (JobColumnConfig model)","GREEN"
"/api/task-instances/[id]","GET, PATCH, DELETE","WF-03f, WF-03g, WF-04c, WF-04d, WF-04f, WF-04h","PWF-03, PWF-04","Core","FRONTEND","DIRECT_FETCH","app/dashboard/jobs/[id]/page.tsx:357,639,668","task-instance.service.ts","GREEN"
"/api/task-instances/[id]/collaborators","GET, POST, DELETE","WF-04b","PWF-04","Core","FRONTEND","DIRECT_FETCH","app/dashboard/jobs/[id]/page.tsx:559,817,836","task-instance.service.ts","GREEN"
"/api/task-instances/[id]/stakeholders","POST","WF-04a, WF-07e","PWF-04, PWF-07","Core","FRONTEND","DIRECT_FETCH","app/dashboard/jobs/[id]/page.tsx","task-instance.service.ts","GREEN"
"/api/task-instances/[id]/comments","GET, POST, DELETE","WF-04g","PWF-04","Core","FRONTEND","DIRECT_FETCH","app/dashboard/jobs/[id]/page.tsx:421,755","task-instance.service.ts","GREEN"
"/api/task-instances/[id]/timeline","GET","WF-04g","PWF-04","Core","FRONTEND","DIRECT_FETCH","app/dashboard/jobs/[id]/page.tsx:445","task-instance.service.ts","GREEN"
"/api/task-instances/[id]/attachments","GET, POST","WF-04e","PWF-04","Core","UNKNOWN","NONE","Not wired","attachment.service.ts","YELLOW"
"/api/task-instances/[id]/request/draft","POST","WF-05a","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/jobs/send-request-modal.tsx:291 (Standard Request mode)","ai-email-generation.service.ts","GREEN"
"/api/task-instances/[id]/request/refine","POST","WF-05a","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/jobs/send-request-modal.tsx:434","ai-email-generation.service.ts","GREEN"
"/api/task-instances/[id]/request/dataset","GET","WF-05b","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/jobs/data-personalization/compose-send-step.tsx","personalization-data.service.ts","GREEN"
"/api/task-instances/[id]/request/dataset/upload","POST","WF-05b","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/jobs/data-personalization/upload-step.tsx","personalization-data.service.ts","GREEN"
"/api/task-instances/[id]/request/dataset/draft","POST","WF-05b","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/jobs/data-personalization/compose-send-step.tsx:161,203","ai-email-generation.service.ts","GREEN"
"/api/task-instances/[id]/request/dataset/preview","GET, POST","WF-05b","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/jobs/data-personalization/compose-send-step.tsx:283,326","personalization-data.service.ts","GREEN"
"/api/task-instances/[id]/request/dataset/send","POST","WF-05b","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/jobs/data-personalization/compose-send-step.tsx:366","email-sending.service.ts, quest.service.ts","GREEN"
"/api/task-instances/[id]/requests","GET, POST, DELETE","WF-05o, WF-05p, WF-05q, WF-05r","PWF-05","Request","FRONTEND","DIRECT_FETCH","app/dashboard/jobs/[id]/page.tsx:429-430 (GET ?includeDrafts=true), components/jobs/draft-request-review-modal.tsx:122-193 (POST action:send/update, DELETE)","request-draft-copy.service.ts, email-sending.service.ts","GREEN"
"/api/quests","GET, POST","WF-05a","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/jobs/send-request-modal.tsx:533","quest.service.ts","GREEN"
"/api/quests/[id]/execute","POST","WF-05a","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/jobs/send-request-modal.tsx:562","quest.service.ts, email-sending.service.ts","GREEN"
"/api/requests","GET","WF-05e","PWF-05","Request","FRONTEND","DIRECT_FETCH","app/dashboard/jobs/[id]/page.tsx:392","None","GREEN"
"/api/requests/detail/[id]","GET, PATCH","WF-05e","PWF-05","Request","FRONTEND","DIRECT_FETCH","app/dashboard/requests/page.tsx:148","None","GREEN"
"/api/requests/detail/[id]/messages","GET","WF-05e","PWF-05","Request","FRONTEND","DIRECT_FETCH","app/dashboard/requests/page.tsx:331,385","None","GREEN"
"/api/requests/detail/[id]/reminders","GET, DELETE","WF-05d, WF-05e","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/jobs/request-card-expandable.tsx:214,229","reminder-state.service.ts","GREEN"
"/api/requests/detail/[id]/reminder-draft","GET, POST","WF-05c","PWF-05","Request","UNKNOWN","NONE","Not wired","None","YELLOW"
"/api/requests/detail/[id]/mark-read","POST","WF-05g","PWF-05","Request","UNKNOWN","NONE","Not wired","None","YELLOW"
"/api/requests/detail/[id]/risk","PUT","WF-05f","PWF-05","Request","UNKNOWN","NONE","Not wired","risk-computation.service.ts","YELLOW"
"/api/requests/detail/[id]/reply","POST","WF-05h","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/reply-review/right-pane/reply-section.tsx:73","email-sending.service.ts","GREEN"
"/api/requests/detail/[id]/reply-draft","POST","WF-05h","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/reply-review/right-pane/reply-section.tsx:44","None","GREEN"
"/api/review/[messageId]","GET, PATCH","WF-05h","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/reply-review/reply-review-layout.tsx:87","None","GREEN"
"/api/review/analyze","POST","WF-05h","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/reply-review/right-pane/ai-summary-section.tsx:38","ai-classification.service.ts","GREEN"
"/api/review/draft-reply","POST","WF-05h","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/reply-review/right-pane/review-rhs.tsx:120","None","GREEN"
"/api/task-instances/[id]/collection","GET, POST","WF-06a","PWF-06","Evidence","FRONTEND","DIRECT_FETCH","components/jobs/collection/collection-upload-modal.tsx:96","evidence.service.ts","GREEN"
"/api/task-instances/[id]/collection/[itemId]","GET, PATCH, DELETE","WF-06b","PWF-06","Evidence","FRONTEND","DIRECT_FETCH","components/jobs/collection/collection-tab.tsx:189","evidence.service.ts","GREEN"
"/api/task-instances/[id]/collection/bulk","POST","WF-06c","PWF-06","Evidence","FRONTEND","DIRECT_FETCH","components/jobs/collection/collection-tab.tsx:168","evidence.service.ts","GREEN"
"/api/task-instances/[id]/collection/export","GET","WF-06d","PWF-06","Evidence","FRONTEND","URL_GENERATION","components/jobs/collection/collection-tab.tsx:324","evidence.service.ts","GREEN"
"/api/task-instances/[id]/collection/download","GET","WF-06a, WF-06b","PWF-06","Evidence","FRONTEND","DIRECT_FETCH","components/jobs/collection/collection-tab.tsx:166","evidence.service.ts","GREEN"
"/api/entities","GET, POST","WF-07a","PWF-07","N/A","FRONTEND","DIRECT_FETCH","app/dashboard/contacts/page.tsx:59","entity.service.ts","GREEN"
"/api/entities/[id]","GET, PATCH, DELETE","WF-07a","PWF-07","N/A","FRONTEND","DIRECT_FETCH","components/contacts/contact-list.tsx:72","entity.service.ts","GREEN"
"/api/entities/import","POST","WF-07b","PWF-07","N/A","FRONTEND","DIRECT_FETCH","components/contacts/import-modal.tsx:124","unified-import.service.ts","GREEN"
"/api/entities/bulk","POST","WF-07b","PWF-07","N/A","FRONTEND","DIRECT_FETCH","components/contacts/csv-upload.tsx:64","entity.service.ts","GREEN"
"/api/groups","GET, POST","WF-07c","PWF-07","N/A","FRONTEND","DIRECT_FETCH","app/dashboard/contacts/page.tsx:74","group.service.ts","GREEN"
"/api/groups/[id]","GET, PATCH, DELETE","WF-07c","PWF-07","N/A","FRONTEND","DIRECT_FETCH","components/contacts/groups-manager.tsx:63,91","group.service.ts","GREEN"
"/api/recipients/search","GET","WF-07f","PWF-07","N/A","FRONTEND","DIRECT_FETCH","components/jobs/send-request-modal.tsx:393","entity.service.ts, domain-detection.service.ts","GREEN"
"/api/email-accounts","GET","WF-08c","PWF-08","N/A","FRONTEND","DIRECT_FETCH","components/jobs/send-request-modal.tsx:217","email-connection.service.ts","GREEN"
"/api/email-accounts/[id]","DELETE, PATCH","WF-08c","PWF-08","N/A","FRONTEND","DIRECT_FETCH","app/dashboard/settings/team/page.tsx:204","email-connection.service.ts","GREEN"
"/api/oauth/gmail","GET","WF-08a","PWF-08","N/A","EXTERNAL","INTERNAL","app/dashboard/settings/team/page.tsx:193","None","GREEN"
"/api/oauth/gmail/callback","GET","WF-08a","PWF-08","N/A","EXTERNAL","INTERNAL","Google OAuth","email-connection.service.ts, gmail-watch.service.ts","GREEN"
"/api/oauth/microsoft","GET","WF-08b","PWF-08","N/A","EXTERNAL","INTERNAL","app/dashboard/settings/team/page.tsx:198","None","GREEN"
"/api/oauth/microsoft/callback","GET","WF-08b","PWF-08","N/A","EXTERNAL","INTERNAL","Microsoft OAuth","email-connection.service.ts","GREEN"
"/api/task-instances/[id]/table/rows","GET","WF-03d","PWF-03","Table","FRONTEND","DIRECT_FETCH","components/jobs/table/data-tab.tsx:67","table-task.service.ts","GREEN"
"/api/task-instances/[id]/table/cell","PATCH","WF-03d","PWF-03","Table","FRONTEND","DIRECT_FETCH","components/jobs/table/data-tab.tsx:135","table-task.service.ts","GREEN"
"/api/task-instances/[id]/table/import","POST","WF-03d","PWF-03","Table","FRONTEND","DIRECT_FETCH","components/jobs/table/import-modal.tsx:328","table-task.service.ts","GREEN"
"/api/task-instances/[id]/table/preview-import","POST","WF-03d","PWF-03","Table","FRONTEND","DIRECT_FETCH","components/jobs/table/import-modal.tsx:297","table-task.service.ts","GREEN"
"/api/task-instances/[id]/table/signoff","GET, POST","WF-03d","PWF-03","Table","FRONTEND","DIRECT_FETCH","components/jobs/table/data-tab.tsx:126,137","table-task.service.ts","GREEN"
"/api/task-instances/[id]/table/compare","GET","WF-03e","PWF-03","Table","FRONTEND","DIRECT_FETCH","components/jobs/table/compare-view.tsx:81","table-task.service.ts","GREEN"
"/api/task-lineages/[id]/schema","GET, PATCH","WF-03b","PWF-03","Table","FRONTEND","DIRECT_FETCH","components/jobs/table/data-tab.tsx:93,116","task-lineage.service.ts","GREEN"
"/api/task-lineages/[id]","GET, PATCH, DELETE","WF-03b","PWF-03","Table","UNKNOWN","NONE","Not wired","task-lineage.service.ts","YELLOW"
"/api/task-instances/[id]/reconciliations","GET, POST","WF-03c, WF-03h","PWF-03","Reconciliation","FRONTEND","DIRECT_FETCH","app/dashboard/jobs/[id]/page.tsx:433, components/jobs/reconciliation-upload-modal.tsx","reconciliation-processor.service.ts","GREEN"
"/api/task-instances/[id]/reconciliations/[id]/export","GET","WF-03h","PWF-03","Reconciliation","FRONTEND","URL_GENERATION","components/jobs/reconciliation-result-card.tsx","reconciliation-processor.service.ts, attachment-extraction.service.ts","GREEN"
"/api/task-instances/[id]/reconciliations/[id]/save-template","POST","WF-03i","PWF-03","Reconciliation","FRONTEND","DIRECT_FETCH","components/jobs/reconciliation-result-card.tsx (Save Template button)","ReconciliationTemplate model","GREEN"
"/api/task-instances/[id]/labels","GET, POST","WF-05a","PWF-05","Request","FRONTEND","DIRECT_FETCH","components/jobs/send-request-modal.tsx:246","task-instance-label.service.ts","GREEN"
"/api/task-instances/[id]/labels/[labelId]","GET, PATCH, DELETE","WF-05a","PWF-05","Request","UNKNOWN","NONE","Not wired","task-instance-label.service.ts","YELLOW"
"/api/task-lineages/[id]/app-rows","GET, POST","WF-10k","PWF-10","Data (opt-in)","FRONTEND","DIRECT_FETCH","components/jobs/data/data-tab-universal.tsx","AppRowDefinition model","GREEN"
"/api/task-lineages/[id]/app-rows/[rowId]","GET, PATCH, DELETE","WF-10m","PWF-10","Data (opt-in)","FRONTEND","DIRECT_FETCH","components/jobs/data/data-tab-universal.tsx","AppRowDefinition model","GREEN"
"/api/task-lineages/[id]/app-rows/[rowId]/values","GET, POST","WF-10l","PWF-10","Data (opt-in)","FRONTEND","DIRECT_FETCH","components/jobs/data/data-tab-universal.tsx","AppRowValue model","GREEN"
"/api/task-lineages/[id]/app-rows/[rowId]/values/[columnIdentity]","GET, PATCH, DELETE","WF-10l","PWF-10","Data (opt-in)","FRONTEND","DIRECT_FETCH","components/jobs/data/data-tab-universal.tsx","AppRowValue model","GREEN"
"/api/task-lineages/[id]/cell-formulas","GET, POST, DELETE","WF-10q, WF-10r, WF-10s","PWF-10","Data (opt-in)","FRONTEND","DIRECT_FETCH","components/jobs/data/data-tab-universal.tsx","CellFormula model, formula-expansion.service.ts","GREEN"
