"Sub-Workflow ID","Step Number","Step Name","Page/Component","File Path","User Action","UI Element Type","API Route","Call Style","Evidence"
"WF-01a","1","Enter signup form","Page","app/signup/page.tsx","Fill form fields","Form","None","None","app/signup/page.tsx"
"WF-01a","2","Submit registration","Page","app/signup/page.tsx","Click submit","Button","POST /api/auth/signup","fetch","app/signup/page.tsx:48"
"WF-01b","1","Enter credentials","Page","app/auth/signin/page.tsx","Fill email/password","Form","None","None","app/auth/signin/page.tsx"
"WF-01b","2","Submit signin","Page","app/auth/signin/page.tsx","Click sign in","Button","POST /api/auth/[...nextauth]","fetch","app/auth/signin/page.tsx:21"
"WF-01c","1","Request reset","Page","app/auth/forgot-password/page.tsx","Enter email, submit","Form","POST /api/auth/forgot-password","fetch","app/auth/forgot-password/page.tsx:20"
"WF-01c","2","Complete reset","Page","app/auth/reset-password/page.tsx","Enter new password","Form","POST /api/auth/reset-password","fetch","app/auth/reset-password/page.tsx:69"
"WF-01d","1","Accept invite","Page","app/auth/accept-invite/page.tsx","Complete registration","Form","POST /api/auth/accept-invite","fetch","app/auth/accept-invite/page.tsx:84"
"WF-02a","1","View boards","Page","app/dashboard/boards/page.tsx","Navigate to boards","Page load","GET /api/boards","fetch","app/dashboard/boards/page.tsx:255"
"WF-02a","2","Open create modal","Component","components/boards/create-board-modal.tsx","Click New Board","Button","None","None","components/boards/create-board-modal.tsx"
"WF-02a","3","Submit new board","Component","components/boards/create-board-modal.tsx","Fill form, submit","Form","POST /api/boards","fetch","components/boards/create-board-modal.tsx:226"
"WF-02b","1","Edit board","Component","components/boards/edit-board-modal.tsx","Click board, edit","Modal","PATCH /api/boards/[id]","fetch","components/boards/edit-board-modal.tsx:222"
"WF-02c","1","View jobs list","Page","app/dashboard/jobs/page.tsx","Navigate to jobs","Page load","GET /api/task-instances","fetch","app/dashboard/jobs/page.tsx:179"
"WF-02c","2","Select board","Page","app/dashboard/jobs/page.tsx","Choose board dropdown","Select","GET /api/boards/[id]","fetch","app/dashboard/jobs/page.tsx:199"
"WF-02j","1","Load column config","Component","components/jobs/configurable-table/configurable-table.tsx","Page load","Auto","GET /api/task-instances/column-config","fetch","components/jobs/configurable-table/configurable-table.tsx:186"
"WF-02j","2","Open column settings","Component","components/jobs/configurable-table/column-header.tsx","Click gear icon","Button","None","None","components/jobs/configurable-table/column-header.tsx"
"WF-02j","3","Toggle column visibility","Component","components/jobs/configurable-table/column-header.tsx","Click eye icon to show/hide column","Toggle","PATCH /api/task-instances/column-config","fetch","components/jobs/configurable-table/column-header.tsx"
"WF-02j","4","Reorder columns","Component","components/jobs/configurable-table/column-header.tsx","Click up/down arrows to reorder","Button","PATCH /api/task-instances/column-config","fetch","components/jobs/configurable-table/column-header.tsx"
"WF-03a","1","Open create job","Page","app/dashboard/jobs/page.tsx","Click New Job","Button","None","None","app/dashboard/jobs/page.tsx"
"WF-03a","2","Submit job","Page","app/dashboard/jobs/page.tsx","Fill form, submit","Form","POST /api/task-instances","fetch","app/dashboard/jobs/page.tsx:376"
"WF-03b","1","Create TABLE job","Page","app/dashboard/jobs/page.tsx","Select TABLE type","Select","POST /api/task-instances","fetch","app/dashboard/jobs/page.tsx:376"
"WF-03b","2","Edit schema","Component","components/jobs/table/data-tab.tsx","Modify columns","Form","PATCH /api/task-lineages/[id]/schema","fetch","components/jobs/table/data-tab.tsx:116"
"WF-03d","1","Open import modal","Component","components/jobs/table/import-modal.tsx","Click Import","Button","None","None","components/jobs/table/import-modal.tsx"
"WF-03d","2","Upload file","Component","components/jobs/table/import-modal.tsx","Select CSV file","FileInput","POST /api/task-instances/[id]/table/preview-import","fetch","components/jobs/table/import-modal.tsx:297"
"WF-03d","3","Confirm import","Component","components/jobs/table/import-modal.tsx","Click Confirm","Button","POST /api/task-instances/[id]/table/import","fetch","components/jobs/table/import-modal.tsx:328"
"WF-03d","4","Edit cell","Component","components/jobs/table/data-tab.tsx","Click cell, edit","Cell","PATCH /api/task-instances/[id]/table/cell","fetch","components/jobs/table/data-tab.tsx:135"
"WF-03d","5","Sign off dataset","Component","components/jobs/table/data-tab.tsx","Click Sign Off","Button","POST /api/task-instances/[id]/table/signoff","fetch","components/jobs/table/data-tab.tsx:137"
"WF-03e","1","View compare tab","Component","components/jobs/table/compare-view.tsx","Click Compare tab","Tab","GET /api/task-instances/[id]/table/compare","fetch","components/jobs/table/compare-view.tsx:81"
"WF-05a","1","Open send modal","Component","components/jobs/send-request-modal.tsx","Click Send Request","Button","None","None","components/jobs/send-request-modal.tsx"
"WF-05a","2","Select Standard Request","Component","components/jobs/send-request-modal.tsx","Click Standard Request card","Card","None","None","components/jobs/send-request-modal.tsx:797-813"
"WF-05a","3","Generate AI draft","Component","components/jobs/send-request-modal.tsx","Automatic","Auto","POST /api/task-instances/[id]/request/draft","fetch","components/jobs/send-request-modal.tsx:291"
"WF-05a","4","Refine draft","Component","components/jobs/send-request-modal.tsx","Edit and refine","TextArea","POST /api/task-instances/[id]/request/refine","fetch","components/jobs/send-request-modal.tsx:434"
"WF-05a","5","Send request","Component","components/jobs/send-request-modal.tsx","Click Send","Button","POST /api/quests, POST /api/quests/[id]/execute","fetch","components/jobs/send-request-modal.tsx:533,562"
"WF-05b","1","Open send modal","Component","components/jobs/send-request-modal.tsx","Click Send Request","Button","None","None","components/jobs/send-request-modal.tsx"
"WF-05b","2","Select Data Personalization","Component","components/jobs/send-request-modal.tsx","Click Data Personalization card","Card","None","None","components/jobs/send-request-modal.tsx:815-830"
"WF-05b","3","Upload CSV/Excel file","Component","components/jobs/data-personalization/upload-step.tsx","Drag & drop or select file","FileInput","POST /api/task-instances/[id]/request/dataset/upload","fetch","components/jobs/data-personalization/upload-step.tsx"
"WF-05b","4","Map columns","Component","components/jobs/data-personalization/upload-step.tsx","Select email column, name columns","Select","None","None","components/jobs/data-personalization/upload-step.tsx"
"WF-05b","5","Generate AI draft","Component","components/jobs/data-personalization/compose-send-step.tsx","Automatic or enter prompt","Auto","POST /api/task-instances/[id]/request/dataset/draft","fetch","components/jobs/data-personalization/compose-send-step.tsx:161,203"
"WF-05b","6","Add merge fields","Component","components/jobs/data-personalization/compose-send-step.tsx","Insert {{FieldName}} tags","Button","None","None","components/jobs/data-personalization/compose-send-step.tsx"
"WF-05b","7","Preview personalized email","Component","components/jobs/data-personalization/compose-send-step.tsx","Click Preview","Button","GET /api/task-instances/[id]/request/dataset/preview","fetch","components/jobs/data-personalization/compose-send-step.tsx:283,326"
"WF-05b","8","Send to all recipients","Component","components/jobs/data-personalization/compose-send-step.tsx","Click Send","Button","POST /api/task-instances/[id]/request/dataset/send","fetch","components/jobs/data-personalization/compose-send-step.tsx:366"
"WF-05e","1","View requests","Page","app/dashboard/requests/page.tsx","Navigate to requests","Page load","GET /api/requests/detail/[id]","fetch","app/dashboard/requests/page.tsx:148"
"WF-05e","2","Expand request","Page","app/dashboard/requests/page.tsx","Click request row","Row click","GET /api/requests/detail/[id]/messages","fetch","app/dashboard/requests/page.tsx:331"
"WF-05e","3","View reminders","Component","components/jobs/request-card-expandable.tsx","Expand card","Section","GET /api/requests/detail/[id]/reminders","fetch","components/jobs/request-card-expandable.tsx:214"
"WF-05h","1","View reply review","Component","components/reply-review/reply-review-layout.tsx","Navigate to review","Page load","GET /api/review/[messageId]","fetch","components/reply-review/reply-review-layout.tsx:87"
"WF-05h","2","Analyze reply","Component","components/reply-review/right-pane/ai-summary-section.tsx","Click Analyze","Button","POST /api/review/analyze","fetch","components/reply-review/right-pane/ai-summary-section.tsx:38"
"WF-05h","3","Send reply","Component","components/reply-review/right-pane/reply-section.tsx","Click Send","Button","POST /api/requests/detail/[id]/reply","fetch","components/reply-review/right-pane/reply-section.tsx:73"
"WF-06a","1","View collection tab","Component","components/jobs/collection/collection-tab.tsx","Click Collection tab","Tab","GET /api/task-instances/[id]/collection","fetch","components/jobs/collection/collection-tab.tsx"
"WF-06a","2","Upload evidence","Component","components/jobs/collection/collection-upload-modal.tsx","Click Upload","Button","POST /api/task-instances/[id]/collection","fetch","components/jobs/collection/collection-upload-modal.tsx:96"
"WF-06b","1","Update item status","Component","components/jobs/collection/collection-tab.tsx","Change status","Select","PATCH /api/task-instances/[id]/collection/[itemId]","fetch","components/jobs/collection/collection-tab.tsx:189"
"WF-06c","1","Bulk actions","Component","components/jobs/collection/collection-tab.tsx","Select items, click action","Toolbar","POST /api/task-instances/[id]/collection/bulk","fetch","components/jobs/collection/collection-tab.tsx:168"
"WF-06d","1","Export all","Component","components/jobs/collection/collection-tab.tsx","Click Export All","Button","GET /api/task-instances/[id]/collection/export","redirect","components/jobs/collection/collection-tab.tsx:324"
"WF-07a","1","View contacts","Page","app/dashboard/contacts/page.tsx","Navigate to contacts","Page load","GET /api/entities, GET /api/groups","fetch","app/dashboard/contacts/page.tsx:59,74"
"WF-07a","2","Add contact","Page","app/dashboard/contacts/page.tsx","Click Add Contact","Button","POST /api/entities","fetch","app/dashboard/contacts/page.tsx"
"WF-07b","1","Import contacts","Component","components/contacts/import-modal.tsx","Upload CSV","FileInput","POST /api/entities/import","fetch","components/contacts/import-modal.tsx:124"
"WF-08a","1","Connect Gmail","Page","app/dashboard/settings/team/page.tsx","Click Connect Gmail","Button","/api/oauth/gmail","redirect","app/dashboard/settings/team/page.tsx:193"
"WF-08b","1","Connect Microsoft","Page","app/dashboard/settings/team/page.tsx","Click Connect Microsoft","Button","/api/oauth/microsoft","redirect","app/dashboard/settings/team/page.tsx:198"
